t,dataset,seed
0,S0_linear_mixed_strength,3
1,S0_linear_mixed_strength,3
2,S0_linear_mixed_strength,3
3,S0_linear_mixed_strength,3
4,S0_linear_mixed_strength,3
5,S0_linear_mixed_strength,3
6,S0_linear_mixed_strength,3
7,S0_linear_mixed_strength,3
8,S0_linear_mixed_strength,3
9,S0_linear_mixed_strength,3
10,S0_linear_mixed_strength,3
11,S0_linear_mixed_strength,3
12,S0_linear_mixed_strength,3
13,S0_linear_mixed_strength,3
14,S0_linear_mixed_strength,3
15,S0_linear_mixed_strength,3
16,S0_linear_mixed_strength,3
17,S0_linear_mixed_strength,3
18,S0_linear_mixed_strength,3
19,S0_linear_mixed_strength,3
20,S0_linear_mixed_strength,3
21,S0_linear_mixed_strength,3
22,S0_linear_mixed_strength,3
23,S0_linear_mixed_strength,3
24,S0_linear_mixed_strength,3
25,S0_linear_mixed_strength,3
26,S0_linear_mixed_strength,3
27,S0_linear_mixed_strength,3
28,S0_linear_mixed_strength,3
29,S0_linear_mixed_strength,3
30,S0_linear_mixed_strength,3
31,S0_linear_mixed_strength,3
32,S0_linear_mixed_strength,3
33,S0_linear_mixed_strength,3
34,S0_linear_mixed_strength,3
35,S0_linear_mixed_strength,3
36,S0_linear_mixed_strength,3
37,S0_linear_mixed_strength,3
38,S0_linear_mixed_strength,3
39,S0_linear_mixed_strength,3
40,S0_linear_mixed_strength,3
41,S0_linear_mixed_strength,3
42,S0_linear_mixed_strength,3
43,S0_linear_mixed_strength,3
44,S0_linear_mixed_strength,3
45,S0_linear_mixed_strength,3
46,S0_linear_mixed_strength,3
47,S0_linear_mixed_strength,3
48,S0_linear_mixed_strength,3
49,S0_linear_mixed_strength,3
50,S0_linear_mixed_strength,3
51,S0_linear_mixed_strength,3
52,S0_linear_mixed_strength,3
53,S0_linear_mixed_strength,3
54,S0_linear_mixed_strength,3
55,S0_linear_mixed_strength,3
56,S0_linear_mixed_strength,3
57,S0_linear_mixed_strength,3
58,S0_linear_mixed_strength,3
59,S0_linear_mixed_strength,3
60,S0_linear_mixed_strength,3
61,S0_linear_mixed_strength,3
62,S0_linear_mixed_strength,3
63,S0_linear_mixed_strength,3
64,S0_linear_mixed_strength,3
65,S0_linear_mixed_strength,3
66,S0_linear_mixed_strength,3
67,S0_linear_mixed_strength,3
68,S0_linear_mixed_strength,3
69,S0_linear_mixed_strength,3
70,S0_linear_mixed_strength,3
71,S0_linear_mixed_strength,3
72,S0_linear_mixed_strength,3
73,S0_linear_mixed_strength,3
74,S0_linear_mixed_strength,3
75,S0_linear_mixed_strength,3
76,S0_linear_mixed_strength,3
77,S0_linear_mixed_strength,3
78,S0_linear_mixed_strength,3
79,S0_linear_mixed_strength,3
80,S0_linear_mixed_strength,3
81,S0_linear_mixed_strength,3
82,S0_linear_mixed_strength,3
83,S0_linear_mixed_strength,3
84,S0_linear_mixed_strength,3
85,S0_linear_mixed_strength,3
86,S0_linear_mixed_strength,3
87,S0_linear_mixed_strength,3
88,S0_linear_mixed_strength,3
89,S0_linear_mixed_strength,3
90,S0_linear_mixed_strength,3
91,S0_linear_mixed_strength,3
92,S0_linear_mixed_strength,3
93,S0_linear_mixed_strength,3
94,S0_linear_mixed_strength,3
95,S0_linear_mixed_strength,3
96,S0_linear_mixed_strength,3
97,S0_linear_mixed_strength,3
98,S0_linear_mixed_strength,3
99,S0_linear_mixed_strength,3
100,S0_linear_mixed_strength,3
101,S0_linear_mixed_strength,3
102,S0_linear_mixed_strength,3
103,S0_linear_mixed_strength,3
104,S0_linear_mixed_strength,3
105,S0_linear_mixed_strength,3
106,S0_linear_mixed_strength,3
107,S0_linear_mixed_strength,3
108,S0_linear_mixed_strength,3
109,S0_linear_mixed_strength,3
110,S0_linear_mixed_strength,3
111,S0_linear_mixed_strength,3
112,S0_linear_mixed_strength,3
113,S0_linear_mixed_strength,3
114,S0_linear_mixed_strength,3
115,S0_linear_mixed_strength,3
116,S0_linear_mixed_strength,3
117,S0_linear_mixed_strength,3
118,S0_linear_mixed_strength,3
119,S0_linear_mixed_strength,3
120,S0_linear_mixed_strength,3
121,S0_linear_mixed_strength,3
122,S0_linear_mixed_strength,3
123,S0_linear_mixed_strength,3
124,S0_linear_mixed_strength,3
125,S0_linear_mixed_strength,3
126,S0_linear_mixed_strength,3
127,S0_linear_mixed_strength,3
128,S0_linear_mixed_strength,3
129,S0_linear_mixed_strength,3
130,S0_linear_mixed_strength,3
131,S0_linear_mixed_strength,3
132,S0_linear_mixed_strength,3
133,S0_linear_mixed_strength,3
134,S0_linear_mixed_strength,3
135,S0_linear_mixed_strength,3
136,S0_linear_mixed_strength,3
137,S0_linear_mixed_strength,3
138,S0_linear_mixed_strength,3
139,S0_linear_mixed_strength,3
140,S0_linear_mixed_strength,3
141,S0_linear_mixed_strength,3
142,S0_linear_mixed_strength,3
143,S0_linear_mixed_strength,3
144,S0_linear_mixed_strength,3
145,S0_linear_mixed_strength,3
