t,hidden_U,dataset,seed
0,0.0267230487231358,S2_hidden_confounder,4
1,-0.9438693327806198,S2_hidden_confounder,4
2,-1.025491998330267,S2_hidden_confounder,4
3,-0.4547666160772507,S2_hidden_confounder,4
4,-0.48641161178160647,S2_hidden_confounder,4
5,-0.560838804984748,S2_hidden_confounder,4
6,-1.0410384870952445,S2_hidden_confounder,4
7,-0.28277589293132166,S2_hidden_confounder,4
8,0.16518061848098334,S2_hidden_confounder,4
9,-0.014111051713263462,S2_hidden_confounder,4
10,1.3812737595372282,S2_hidden_confounder,4
11,0.7734562162976087,S2_hidden_confounder,4
12,2.0161844978199253,S2_hidden_confounder,4
13,0.7193124780737079,S2_hidden_confounder,4
14,-1.5697194496807712,S2_hidden_confounder,4
15,-2.774617276153768,S2_hidden_confounder,4
16,-0.32962146708251044,S2_hidden_confounder,4
17,-0.0315314912942024,S2_hidden_confounder,4
18,-0.38393071112586136,S2_hidden_confounder,4
19,-1.2405955158380189,S2_hidden_confounder,4
20,-1.3277390234852537,S2_hidden_confounder,4
21,-0.9313249402693105,S2_hidden_confounder,4
22,0.718082224899476,S2_hidden_confounder,4
23,1.4723183518058929,S2_hidden_confounder,4
24,0.29026604734485434,S2_hidden_confounder,4
25,-0.20287195772838879,S2_hidden_confounder,4
26,1.1498554764365245,S2_hidden_confounder,4
27,0.38164595006228397,S2_hidden_confounder,4
28,-0.5096282403876063,S2_hidden_confounder,4
29,0.0795586225226824,S2_hidden_confounder,4
30,-0.05086293242701639,S2_hidden_confounder,4
31,0.0026149630548501245,S2_hidden_confounder,4
32,-0.839645730813918,S2_hidden_confounder,4
33,-1.2986454087408255,S2_hidden_confounder,4
34,-0.4518019996063139,S2_hidden_confounder,4
35,-0.6761700161835387,S2_hidden_confounder,4
36,-0.9221744138288275,S2_hidden_confounder,4
37,-1.3566914066810019,S2_hidden_confounder,4
38,-0.09980408503174117,S2_hidden_confounder,4
39,-0.5089801562724591,S2_hidden_confounder,4
40,0.3849717684783605,S2_hidden_confounder,4
41,-0.29510000192422875,S2_hidden_confounder,4
42,-0.2868369131328866,S2_hidden_confounder,4
43,0.3635394520269675,S2_hidden_confounder,4
44,0.4415601564993666,S2_hidden_confounder,4
45,-0.4421875016260687,S2_hidden_confounder,4
46,0.06093264451293301,S2_hidden_confounder,4
47,-0.47297944341631754,S2_hidden_confounder,4
48,0.4158818970984286,S2_hidden_confounder,4
49,1.4001698743328077,S2_hidden_confounder,4
50,1.9000978186166813,S2_hidden_confounder,4
51,1.1426286969196504,S2_hidden_confounder,4
52,0.2123358471728185,S2_hidden_confounder,4
53,0.7533938036277653,S2_hidden_confounder,4
54,0.22766183850695837,S2_hidden_confounder,4
55,-0.5154074669313997,S2_hidden_confounder,4
56,-0.5782058588612732,S2_hidden_confounder,4
57,-0.5958985499688049,S2_hidden_confounder,4
58,-0.5140425883355099,S2_hidden_confounder,4
59,0.2980990735194042,S2_hidden_confounder,4
60,-0.18114095077471634,S2_hidden_confounder,4
61,0.06889002520958168,S2_hidden_confounder,4
62,0.5689802455461042,S2_hidden_confounder,4
63,-0.22346026774308098,S2_hidden_confounder,4
64,1.373709606221663,S2_hidden_confounder,4
65,0.7945096205120715,S2_hidden_confounder,4
66,1.7594455988486142,S2_hidden_confounder,4
67,0.4794083740550199,S2_hidden_confounder,4
68,-0.6555287600487856,S2_hidden_confounder,4
69,-0.16423145301844122,S2_hidden_confounder,4
70,-1.2121549151422566,S2_hidden_confounder,4
71,-1.8542246409575982,S2_hidden_confounder,4
72,-1.1515813535665833,S2_hidden_confounder,4
73,0.08294648950470984,S2_hidden_confounder,4
74,0.11833639625519717,S2_hidden_confounder,4
75,1.2023052962343728,S2_hidden_confounder,4
76,0.11343017403301318,S2_hidden_confounder,4
77,-0.6301551687037152,S2_hidden_confounder,4
78,-0.4764791870219298,S2_hidden_confounder,4
79,-0.7530161021768509,S2_hidden_confounder,4
80,-1.113337358575241,S2_hidden_confounder,4
81,-0.17767056164533082,S2_hidden_confounder,4
82,0.736162844735745,S2_hidden_confounder,4
83,-0.23498328554245296,S2_hidden_confounder,4
84,0.22467676826571362,S2_hidden_confounder,4
85,-0.21063350340125506,S2_hidden_confounder,4
86,-1.1003960301706144,S2_hidden_confounder,4
87,0.10927802750205823,S2_hidden_confounder,4
88,-0.6142415350033213,S2_hidden_confounder,4
89,-0.77976486584075,S2_hidden_confounder,4
90,-0.6101571834769387,S2_hidden_confounder,4
91,0.4764635688468649,S2_hidden_confounder,4
92,0.11298706596423273,S2_hidden_confounder,4
93,-0.6218077699670805,S2_hidden_confounder,4
94,-0.4258426797363322,S2_hidden_confounder,4
95,0.30698690068077467,S2_hidden_confounder,4
96,0.3705954306997369,S2_hidden_confounder,4
97,-0.035928730452093334,S2_hidden_confounder,4
98,-0.7467265718782399,S2_hidden_confounder,4
99,-1.1911803153579577,S2_hidden_confounder,4
100,-0.5166974734907742,S2_hidden_confounder,4
101,-1.0965775604836692,S2_hidden_confounder,4
102,-0.3197844557887089,S2_hidden_confounder,4
103,-0.4114978164932432,S2_hidden_confounder,4
104,0.06565099362079484,S2_hidden_confounder,4
105,-0.5909220364482815,S2_hidden_confounder,4
106,-0.7850850589240007,S2_hidden_confounder,4
107,-0.32359183045875567,S2_hidden_confounder,4
108,0.26095979923682705,S2_hidden_confounder,4
109,-1.3057020419377598,S2_hidden_confounder,4
110,-0.47873937637401154,S2_hidden_confounder,4
111,-0.8504162942555357,S2_hidden_confounder,4
112,0.2693235066093147,S2_hidden_confounder,4
113,0.9253850440583028,S2_hidden_confounder,4
114,0.7965435431957328,S2_hidden_confounder,4
115,1.4275026086765064,S2_hidden_confounder,4
116,0.14651926805756949,S2_hidden_confounder,4
117,-0.48880522602618115,S2_hidden_confounder,4
118,0.031289533394254755,S2_hidden_confounder,4
119,0.5130655310267176,S2_hidden_confounder,4
120,0.4690740750770812,S2_hidden_confounder,4
121,0.3811133912665025,S2_hidden_confounder,4
122,0.3299398258556545,S2_hidden_confounder,4
123,1.2498018538004523,S2_hidden_confounder,4
124,0.06367595052759265,S2_hidden_confounder,4
125,-0.7454815501488692,S2_hidden_confounder,4
126,-0.693904714536271,S2_hidden_confounder,4
127,-0.9208400667210407,S2_hidden_confounder,4
128,-0.4863340213715605,S2_hidden_confounder,4
129,-0.23375539677864235,S2_hidden_confounder,4
130,-0.6778090563411134,S2_hidden_confounder,4
131,-1.8899205644817718,S2_hidden_confounder,4
132,-2.357608200427685,S2_hidden_confounder,4
133,-1.3630411761969203,S2_hidden_confounder,4
134,-0.6553193012971452,S2_hidden_confounder,4
135,-0.7512854879886629,S2_hidden_confounder,4
136,-0.40201165296553765,S2_hidden_confounder,4
137,0.4849728880615574,S2_hidden_confounder,4
138,0.5980498532291981,S2_hidden_confounder,4
139,-0.4429520345287012,S2_hidden_confounder,4
140,-0.6042444337180827,S2_hidden_confounder,4
141,-0.959325611072611,S2_hidden_confounder,4
142,-1.0843736932941956,S2_hidden_confounder,4
143,-0.7165052800546373,S2_hidden_confounder,4
144,-0.7597779336866408,S2_hidden_confounder,4
145,-0.6461366791683256,S2_hidden_confounder,4
146,0.05584488406144487,S2_hidden_confounder,4
147,0.7027391499210981,S2_hidden_confounder,4
