t,dataset,seed
0,S3_nonlinear_nonmonotonic,3
1,S3_nonlinear_nonmonotonic,3
2,S3_nonlinear_nonmonotonic,3
3,S3_nonlinear_nonmonotonic,3
4,S3_nonlinear_nonmonotonic,3
5,S3_nonlinear_nonmonotonic,3
6,S3_nonlinear_nonmonotonic,3
7,S3_nonlinear_nonmonotonic,3
8,S3_nonlinear_nonmonotonic,3
9,S3_nonlinear_nonmonotonic,3
10,S3_nonlinear_nonmonotonic,3
11,S3_nonlinear_nonmonotonic,3
12,S3_nonlinear_nonmonotonic,3
13,S3_nonlinear_nonmonotonic,3
14,S3_nonlinear_nonmonotonic,3
15,S3_nonlinear_nonmonotonic,3
16,S3_nonlinear_nonmonotonic,3
17,S3_nonlinear_nonmonotonic,3
18,S3_nonlinear_nonmonotonic,3
19,S3_nonlinear_nonmonotonic,3
20,S3_nonlinear_nonmonotonic,3
21,S3_nonlinear_nonmonotonic,3
22,S3_nonlinear_nonmonotonic,3
23,S3_nonlinear_nonmonotonic,3
24,S3_nonlinear_nonmonotonic,3
25,S3_nonlinear_nonmonotonic,3
26,S3_nonlinear_nonmonotonic,3
27,S3_nonlinear_nonmonotonic,3
28,S3_nonlinear_nonmonotonic,3
29,S3_nonlinear_nonmonotonic,3
30,S3_nonlinear_nonmonotonic,3
31,S3_nonlinear_nonmonotonic,3
32,S3_nonlinear_nonmonotonic,3
33,S3_nonlinear_nonmonotonic,3
34,S3_nonlinear_nonmonotonic,3
35,S3_nonlinear_nonmonotonic,3
36,S3_nonlinear_nonmonotonic,3
37,S3_nonlinear_nonmonotonic,3
38,S3_nonlinear_nonmonotonic,3
39,S3_nonlinear_nonmonotonic,3
40,S3_nonlinear_nonmonotonic,3
41,S3_nonlinear_nonmonotonic,3
42,S3_nonlinear_nonmonotonic,3
43,S3_nonlinear_nonmonotonic,3
44,S3_nonlinear_nonmonotonic,3
45,S3_nonlinear_nonmonotonic,3
46,S3_nonlinear_nonmonotonic,3
47,S3_nonlinear_nonmonotonic,3
48,S3_nonlinear_nonmonotonic,3
49,S3_nonlinear_nonmonotonic,3
50,S3_nonlinear_nonmonotonic,3
51,S3_nonlinear_nonmonotonic,3
52,S3_nonlinear_nonmonotonic,3
53,S3_nonlinear_nonmonotonic,3
54,S3_nonlinear_nonmonotonic,3
55,S3_nonlinear_nonmonotonic,3
56,S3_nonlinear_nonmonotonic,3
57,S3_nonlinear_nonmonotonic,3
58,S3_nonlinear_nonmonotonic,3
59,S3_nonlinear_nonmonotonic,3
60,S3_nonlinear_nonmonotonic,3
61,S3_nonlinear_nonmonotonic,3
62,S3_nonlinear_nonmonotonic,3
63,S3_nonlinear_nonmonotonic,3
64,S3_nonlinear_nonmonotonic,3
65,S3_nonlinear_nonmonotonic,3
66,S3_nonlinear_nonmonotonic,3
67,S3_nonlinear_nonmonotonic,3
68,S3_nonlinear_nonmonotonic,3
69,S3_nonlinear_nonmonotonic,3
70,S3_nonlinear_nonmonotonic,3
71,S3_nonlinear_nonmonotonic,3
72,S3_nonlinear_nonmonotonic,3
73,S3_nonlinear_nonmonotonic,3
74,S3_nonlinear_nonmonotonic,3
75,S3_nonlinear_nonmonotonic,3
76,S3_nonlinear_nonmonotonic,3
77,S3_nonlinear_nonmonotonic,3
78,S3_nonlinear_nonmonotonic,3
79,S3_nonlinear_nonmonotonic,3
80,S3_nonlinear_nonmonotonic,3
81,S3_nonlinear_nonmonotonic,3
82,S3_nonlinear_nonmonotonic,3
83,S3_nonlinear_nonmonotonic,3
84,S3_nonlinear_nonmonotonic,3
85,S3_nonlinear_nonmonotonic,3
86,S3_nonlinear_nonmonotonic,3
