date,yield_1y,yield_10y,usd_cny_mid,hs300,shibor_1w
2015-01-04,,,,,4.883
2015-01-05,3.2953,3.6651,6.1248,3641.541,4.725
2015-01-06,3.247,3.6349,6.1256,3641.059,4.241
2015-01-07,3.1897,3.6543,6.126899999999999,3643.79,3.873
2015-01-08,3.1676,3.6616,6.1302,3559.259,3.745
2015-01-09,3.1886,3.634,6.1296,3546.723,3.738
2015-01-12,3.1976,3.63,6.1232999999999995,3513.576,3.762
2015-01-13,3.2104,3.6076,6.1195,3514.04,3.73
2015-01-14,3.2561,3.5849,6.120499999999999,3502.423,3.837
2015-01-15,3.2009,3.5191,6.119299999999999,3604.121,3.843
2015-01-16,3.2256,3.5032,6.1188,3635.146,3.848
2015-01-19,3.1884,3.4761,6.123,3355.155,3.831
2015-01-20,3.2149,3.4573,6.1226,3396.222,3.782
2015-01-21,3.1985,3.4684,6.1268,3548.885,3.823
2015-01-22,3.1735,3.4508,6.124700000000001,3567.613,3.875
2015-01-23,3.1701,3.4416,6.1342,3571.732,4.028
2015-01-26,3.158,3.4342,6.1384,3607.985,3.92
2015-01-27,3.119,3.4261,6.1364,3574.931,3.89
2015-01-28,3.0947,3.4409,6.1282,3525.323,3.898
2015-01-29,3.1021,3.4467,6.133500000000001,3481.798,3.929
2015-01-30,3.1132,3.4707,6.137,3434.39,4.026
2015-02-02,3.1059,3.4682,6.1385,3353.96,4.257
2015-02-03,3.1001,3.4407,6.136899999999999,3437.445,4.3933
2015-02-04,3.0889,3.412,6.1318,3401.768,4.427
2015-02-05,3.0765,3.3782,6.1366,3366.946,4.412
2015-02-06,3.071,3.4307,6.126099999999999,3312.42,4.359
2015-02-09,3.096,3.4269,6.131100000000001,3345.921,4.335
2015-02-10,3.0767,3.4182,6.129500000000001,3406.943,4.321
2015-02-11,3.0911,3.4091,6.131500000000001,3434.124,4.42
2015-02-12,3.0927,3.3796,6.133299999999999,3442.874,4.602
2015-02-13,3.1012,3.3732,6.1288,3469.828,4.663
2015-02-15,,,,,4.72
2015-02-16,3.1214,3.3439,6.127299999999999,3499.483,4.7
2015-02-17,3.1148,3.3017,6.133,3522.322,4.749
2015-02-25,3.0751,3.3031,6.1384,3478.729,4.768
2015-02-26,3.0471,3.309,6.137900000000001,3566.295,4.717
2015-02-27,3.0541,3.3365,6.147500000000001,3572.843,4.715
2015-02-28,,,,,4.772
2015-03-02,3.0689,3.3413,6.151299999999999,3601.265,4.748
2015-03-03,3.0581,3.3998,6.154300000000001,3507.9,4.747
2015-03-04,3.0773,3.4086,6.152499999999999,3530.822,4.717
2015-03-05,3.0985,3.4342,6.1528,3496.344,4.729
2015-03-06,3.114,3.4786,6.1533,3478.52,4.739
2015-03-09,3.0883,3.495,6.156300000000001,3537.75,4.773
2015-03-10,3.1613,3.4881,6.1572,3520.611,4.763
2015-03-11,3.1266,3.4504,6.159699999999999,3524.653,4.773
2015-03-12,3.1025,3.4275,6.1617,3592.844,4.7511
2015-03-13,3.1352,3.4732,6.1588,3617.657,4.738
2015-03-16,3.1484,3.4994,6.161500000000001,3705.671,4.708
2015-03-17,3.1559,3.5395,6.158499999999999,3757.122,4.62
2015-03-18,3.1399,3.5022,6.1556,3846.055,4.602
2015-03-19,3.1498,3.5304,6.146,3839.739,4.496
2015-03-20,3.1682,3.495,6.1496,3892.574,4.331
2015-03-23,3.1673,3.492,6.1448,3972.061,4.143
2015-03-24,3.1424,3.4879,6.1398,3973.046,4.033
2015-03-25,3.1745,3.4951,6.141,3940.412,3.955
2015-03-26,3.1644,3.5272,6.137500000000001,3949.999,3.897
2015-03-27,3.1832,3.5619,6.1396999999999995,3971.697,3.893
2015-03-30,3.2161,3.5847,6.1402,4088.178,3.919
2015-03-31,3.2599,3.63,6.1422,4051.204,3.886
2015-04-01,3.2051,3.6296,6.1434,4123.895,3.754
2015-04-02,3.1662,3.5516,6.1396,4124.776,3.635
2015-04-03,3.1425,3.5437,6.1348,4170.538,3.506
2015-04-07,3.161,3.555,6.1305,4260.044,3.319
2015-04-08,3.1746,3.6338,6.134499999999999,4295.803,3.163
2015-04-09,3.1262,3.6983,6.1338,4262.138,3.073
2015-04-10,3.1626,3.6764,6.137,4344.416,2.97
2015-04-13,3.1085,3.6817,6.139500000000001,4421.073,2.949
2015-04-14,3.1214,3.645,6.140700000000001,4438.184,2.92
2015-04-15,3.1123,3.6117,6.134,4380.513,2.88
2015-04-16,3.072,3.5708,6.1305,4513.546,2.884
2015-04-17,3.1223,3.5642,6.1267000000000005,4596.136,2.873
2015-04-20,3.1142,3.4881,6.125500000000001,4521.919,2.732
2015-04-21,3.0537,3.398,6.128,4619.164,2.62
2015-04-22,3.0169,3.4034,6.129,4739.814,2.567
2015-04-23,2.9785,3.4206,6.128099999999999,4740.892,2.527
2015-04-24,2.9556,3.4408,6.124099999999999,4702.641,2.488
2015-04-27,2.9075,3.4073,6.122,4807.592,2.451
2015-04-28,2.8533,3.3867,6.1209,4741.861,2.438
2015-04-29,2.819,3.3979,6.116899999999999,4774.326,2.439
2015-04-30,2.7614,3.3673,6.1137,4749.886,2.43
2015-05-04,2.7248,3.3774,6.116499999999999,4787.741,2.39
2015-05-05,2.7378,3.3945,6.118,4596.837,2.368
2015-05-06,2.7795,3.4102,6.1156,4553.327,2.369
2015-05-07,2.7261,3.4577,6.111299999999999,4470.089,2.355
2015-05-08,2.6915,3.3892,6.114700000000001,4558.404,2.334
2015-05-11,2.6806,3.3708,6.1132,4690.532,2.245
2015-05-12,2.6096,3.389,6.115500000000001,4747.421,2.197
2015-05-13,2.5452,3.3873,6.1123,4718.436,2.149
2015-05-14,2.432,3.3628,6.109299999999999,4700.778,2.056
2015-05-15,2.3385,3.3599,6.108499999999999,4617.47,1.962
2015-05-18,2.4254,3.3783,6.107900000000001,4575.14,1.92
2015-05-19,2.4257,3.4231,6.1098,4731.222,1.925
2015-05-20,2.4616,3.4171,6.112499999999999,4754.919,1.932
2015-05-21,2.4419,3.4115,6.113900000000001,4840.976,1.944
2015-05-22,2.3971,3.4177,6.113100000000001,4951.335,1.966
2015-05-25,2.3207,3.4236,6.116499999999999,5099.495,1.968
2015-05-26,2.133,3.4908,6.1172,5198.918,1.9688
2015-05-27,1.9024,3.4922,6.1198,5181.434,1.967
2015-05-28,1.8863,3.5362,6.1202,4834.007,1.952
2015-05-29,1.9799,3.5969,6.1196,4840.829,1.972
2015-06-01,2.018,3.6253,6.1207,5076.179,1.963
2015-06-02,2.0129,3.601,6.1225,5161.87,1.977
2015-06-03,1.9634,3.6049,6.1176,5143.59,2.057
2015-06-04,1.9407,3.5868,6.1164,5181.416,2.122
2015-06-05,1.8974,3.5868,6.118099999999999,5230.552,2.07
2015-06-08,1.8755,3.5689,6.120499999999999,5353.751,2.043
2015-06-09,1.7989,3.5517,6.117900000000001,5317.461,2.049
2015-06-10,1.6846,3.5736,6.117299999999999,5309.112,2.052
2015-06-11,1.7707,3.6132,6.115,5306.59,2.063
2015-06-12,1.755,3.6168,6.116700000000001,5335.1151,2.085
2015-06-15,1.6915,3.6359,6.116899999999999,5221.1665,2.11
2015-06-16,1.7312,3.6242,6.115500000000001,5064.8212,2.143
2015-06-17,1.7147,3.6114,6.1158,5138.8307,2.238
2015-06-18,1.7141,3.5862,6.1126,4930.5491,2.478
2015-06-19,1.7158,3.5739,6.1104,4637.0517,2.674
2015-06-23,1.7854,3.6152,6.1119,4786.0906,2.675
2015-06-24,1.7378,3.5727,6.1142,4880.1261,2.808
2015-06-25,1.8174,3.6129,6.1148,4706.5159,2.884
2015-06-26,1.8102,3.5979,6.1137,4336.1947,2.921
2015-06-29,1.7798,3.5779,6.1168,4191.5486,2.84
2015-06-30,1.6801,3.6054,6.1136,4472.9976,2.652
2015-07-01,1.7028,3.6047,6.1149,4253.021,2.602
2015-07-02,1.7985,3.6093,6.117100000000001,4107.9961,2.712
2015-07-03,1.905,3.5918,6.116,3885.9169,2.802
2015-07-06,1.824,3.518,6.1172,3998.537,2.661
2015-07-07,1.8754,3.4572,6.1166,3928.0025,2.61
2015-07-08,2.1318,3.4095,6.117500000000001,3663.0375,2.589
2015-07-09,2.1879,3.4419,6.115100000000001,3897.6263,2.578
2015-07-10,2.3128,3.4783,6.1152999999999995,4106.5561,2.575
2015-07-13,2.3341,3.4901,6.1133,4211.8116,2.553
2015-07-14,2.5158,3.5378,6.116499999999999,4112.1488,2.556
2015-07-15,2.4486,3.5454,6.1152,3966.7585,2.55
2015-07-16,2.4313,3.5293,6.117299999999999,3997.3555,2.481
2015-07-17,2.4584,3.5148,6.1192,4151.4956,2.464
2015-07-20,2.4618,3.5123,6.119699999999999,4160.612,2.449
2015-07-21,2.4553,3.5239,6.1199,4166.0057,2.458
2015-07-22,2.4488,3.5314,6.1168,4157.1604,2.478
2015-07-23,2.3853,3.4954,6.1172,4250.805,2.54
2015-07-24,2.3135,3.4671,6.116899999999999,4176.2787,2.559
2015-07-27,2.3168,3.4718,6.1176,3818.7314,2.559
2015-07-28,2.293,3.4423,6.1154,3811.0926,2.552
2015-07-29,2.2764,3.4488,6.115,3930.3791,2.514
2015-07-30,2.2689,3.4234,6.116499999999999,3815.4118,2.502
2015-07-31,2.2562,3.4505,6.1172,3816.6993,2.509
2015-08-03,2.2683,3.4721,6.116899999999999,3829.2354,2.495
2015-08-04,2.3283,3.4559,6.117699999999999,3948.1554,2.483
2015-08-05,2.3019,3.4549,6.1186,3866.8998,2.471
2015-08-06,2.2391,3.4749,6.118099999999999,3831.8516,2.449
2015-08-07,2.2893,3.4615,6.1174,3906.9448,2.453
2015-08-10,2.2377,3.455,6.1162,4084.3646,2.455
2015-08-11,2.2499,3.4997,6.2298,4066.6692,2.463
2015-08-12,2.3595,3.5348,6.3306,4016.1262,2.472
2015-08-13,2.3842,3.5264,6.401,4075.463,2.481
2015-08-14,2.2584,3.5103,6.397500000000001,4073.54,2.495
2015-08-17,2.2755,3.5031,6.3969,4077.8721,2.517
2015-08-18,2.2768,3.5101,6.3966,3825.4122,2.531
2015-08-19,2.2738,3.517,6.396300000000001,3886.1357,2.546
2015-08-20,2.2838,3.5252,6.391500000000001,3761.4541,2.586
2015-08-21,2.2805,3.4959,6.3864,3589.5358,2.599
2015-08-24,2.2913,3.4943,6.3862,3275.5342,2.597
2015-08-25,2.2885,3.4587,6.398700000000001,3042.9266,2.593
2015-08-26,2.2918,3.4374,6.404300000000001,3025.692,2.429
2015-08-27,2.2893,3.4061,6.408499999999999,3205.6375,2.398
2015-08-28,2.2679,3.385,6.3986,3342.2863,2.392
2015-08-31,2.3713,3.3536,6.3892999999999995,3366.5359,2.398
2015-09-01,2.2785,3.2934,6.3752,3362.0827,2.41
2015-09-02,2.2688,3.3114,6.3619,3365.8318,2.421
2015-09-06,,,,,2.41
2015-09-07,2.2681,3.3054,6.3584,3250.485,2.41
2015-09-08,2.2662,3.352,6.363900000000001,3334.0233,2.402
2015-09-09,2.2636,3.3395,6.3632,3399.3054,2.398
2015-09-10,2.2808,3.3593,6.3772,3357.561,2.4
2015-09-11,2.2685,3.3409,6.371900000000001,3347.1878,2.403
2015-09-14,2.2701,3.3302,6.3709,3281.1317,2.394
2015-09-15,2.3156,3.3239,6.366499999999999,3152.2319,2.392
2015-09-16,2.3322,3.3015,6.3712,3309.2484,2.391
2015-09-17,2.3142,3.3113,6.367,3236.9986,2.391
2015-09-18,2.3032,3.3242,6.3607000000000005,3251.2732,2.39
2015-09-21,2.3281,3.3186,6.3676,3308.2467,2.391
2015-09-22,2.3418,3.3278,6.3721,3339.03,2.397
2015-09-23,2.3088,3.3286,6.377299999999999,3263.0275,2.401
2015-09-24,2.3222,3.3255,6.3791,3284.9991,2.48
2015-09-25,2.3982,3.3197,6.378499999999999,3231.9514,2.447
2015-09-28,2.3831,3.2956,6.3729,3242.7524,2.431
2015-09-29,2.3916,3.265,6.366,3178.8544,2.419
2015-09-30,2.3713,3.2475,6.361299999999999,3202.9475,2.408
